Title;Speaker;Place;Day;Time;Description
Building data-driven beats;Matthew Waite, Reginald Chua, Chris Amico;Regency South;Saturday;9 a.m. - 9:50 a.m.;How can the tools and techniques used in data journalism be applied to the day-to-day demands of beat reporting? What challenges do newsrooms face reorganizing and adding structure to beats? We'll share our experiences building sites like Homicide Watch DC and PolitiFact, and look at examples of other projects that add structure and data to daily beat reporting.
Build your first News App with Django (Saturday);TBA;Seneca/Iroquois;Saturday;9 a.m. - 11:50 a.m.;*Pre-registered attendees only
Fundamentals of programming in Python;Serdar Tumgoren;Kentucky Suite;Saturday;9 a.m. - 9:50 a.m.;A crash course in basic programming that will walk you through the process of writing your first web scrape.
Discovery, validation, publication: How to be ready for your social media Sandy;Steve Myers;Churchill Downs;Saturday;9 a.m. - 9:50 a.m.;Steve Myers will use examples from Hurricane Sandy and other news events to show you how to find photos and information on social media and evaluate their authenticity.
The great divide: Investigating income inequality;Paul Overberg, Robert Gebeloff, Himanshu Ojha;Regency Center;Saturday;9 a.m. - 9:50 a.m.;"Income inequality zoomed into the headlines with the Occupy movement and the 2012 presidential campaign, but most coverage was more about heat than light. Talk of an ""income gap"" ""or the 99%"" obscures a complicated reality and ignores most of the story - trends in the middle class. Income inequality is growing in many places, shrinking in others. Its pace and texture vary. Some causes are global and national, some are local. Come learn better ways to cover a complex story, including how journalists did recent stories and data tools you can use to analyze local trends."
SPSS 2: Basic linear regression;David Donald;Keeneland;Saturday;10 a.m. - 10:50 a.m.;
Beyond mapping: Data analysis using Fusion Tables;Matt Stiles, Daniel Lathrop;Gulfstream/Hialeah;Saturday;10 a.m. - 10:50 a.m.;Google Fusion Tables is known for its easy-to-use mapping interface, but it's also a powerful and free database manager for reporters who don't have access to software or haven't yet mastered SQL syntax. Learn to use Fusion Tables to aggregate and query your data - and explore new features that have recently extended the tool's capabilities.
Prying it loose: Data negotiation and acquisition;Roby Alampay, Andy Lehren;Regency South;Saturday;10 a.m. - 10:50 a.m.;Getting any record can be tough, but wrangling data can introduce even more challenges. We'll give you some tools and tips for getting data out of government agencies, no matter how difficult, and whether or not it's digitized. We'll look at how bureaucracies and a dearth of data can be surmounted by partnerships and clever programs to generate compelling services. And we'll look at case studies including the acquisition of data for a real-time traffic monitoring system in the Philippines.(interaksyon.com/tnav).
Access 2;Liz Lucas;Shawnee/Cherokee;Saturday;10 a.m. - 10:50 a.m.;An overview of summarizing databases with counting and summing using SQL in Microsoft Access.
Dispatch: Secure, authenticated, instant mobile publishing;Kanak Biscuitwala, Mathias Lecuyer, Susan McGregor, Madeline Ross;Churchill Downs;Saturday;10 a.m. - 10:50 a.m.;Dispatch is a unique publishing tool that allows journalists working in conflict areas to publish their work and communicate with sources instantly and securely. Using a unique, identity-based encryption scheme, Dispatch helps separate your published work from your real identity, while still giving your readers confidence that the material you post really came from you. And, while it publishes to the internet, Dispatch helps make sure your work gets out even when the internet is down, through direct, device-to-device sharing that publishes to the web as soon as connectivity is restored.
"Fundamentals of programming in Python (cont&#39;d)";Serdar Tumgoren;Kentucky Suite;Saturday;10 a.m. - 10:50 a.m.;A crash course in basic programming that will walk you through the process of writing your first web scrape.
The one-query story: Quick hits for your newsroom;Megan Luther, Kate Martin, Grant Smith;Regency Center;Saturday;10 a.m. - 10:50 a.m.;Amaze your editors and wow your readers with these quick-hit data story ideas. Learn techniques on how to look for the short-form watchdog and how to juggle it all. Afflict the comfortable by fact-checking their statements, find expert sources and use spreadsheets to inform your next project.
Inside baseball: What data journalism can learn from sports;Ryan Pitts, Matthew Waite, Jeremy Bowers;Regency North;Saturday;10 a.m. - 10:50 a.m.;"This panel will identify areas for data journalism exploration by examining the current state-of-the-art baseball data analysis. Sports are the original form of data journalism -- box scores predate open government movements by about a century. And Joseph Adler's ""Baseball Hacks"" trained newbie Web CAR reporters how to scrape and analyze data sets using Perl and MySQL. Finally, sports analytics are a leading indicator for other kinds of analysis. Sensors, economic analysis, leverage are all de rigeur in baseball but still up-and-coming in data journalism. We'll take the concepts being used to analyze baseball, football, soccer and apply them to standard data journalism chores. A good example of this is leverage -- in baseball, an analyst attempts to find those situations in which a player had the greatest opportunity to change the outcome of a game. In data journalism, we might use a similar tool to analyze critical paths to an election win for a candidate or put together a network graph for bundled contributions to PACs."
Access 3;Aaron Kessler;Shawnee/Cherokee;Saturday;11 a.m. - 11:50 a.m.;Learn how to join tables, matching information from one file to another, using SQL in Microsoft Access.
Developing reusable visualization components using D3 and Backbone;Alastair Dant;Churchill Downs;Saturday;11 a.m. - 11:50 a.m.;This session will step through a process for creating components for standards-based Web content, focusing in particular on the creation of common building blocks for data visualization in JavaScript. D3 is an increasingly popular choice for developing visual content and we will look at how items ranging from simple bar charts to custom graphics can be packaged up for easy reuse. Backbone is a widely used toolkit for creating browser-based applications and we will examine how its models and views can play a role in the creation of components. Consideration will be given to combination, customization and the power of reuse versus the perils of over-generalization.
Scraping with Node.js;Al Shaw;Kentucky Suite;Saturday;11 a.m. - 11:50 a.m.;
How to edit a news app;Scott Klein, Aron Pilhofer;Regency South;Saturday;11 a.m. - 11:50 a.m.;There's a lot to think about when it comes to news apps, but not all of it is coding. What story is it telling? Does it tell it consistently and in a fact-based way? Does the story it tells agree with the reporting (and if not who's got explaining to do!) What's the lede, what's the nut (yes, apps have those).
Getting data into Excel;Liz Lucas;Gulfstream/Hialeah;Saturday;11 a.m. - 11:50 a.m.;Don't let hard-to-use data ruin your day. Learn how to import a variety of formats (such as text files, HTML tables, PDFs) into Excel.
Dashboards for reporting;Aaron Bycoffe, Jacob Harris, Derek Willis;Regency North;Saturday;11 a.m. - 11:50 a.m.;For newsrooms that need to cope with regularly-updated data, the ability to provide both real-time access and custom views to pinpoint newsworthy events is crucial. This panel will discuss some of the considerations when building and maintaining data dashboards, and show some examples of dashboards in action.
SPSS 3: Using logistic regression;Jennifer LaFleur;Keeneland;Saturday;11 a.m. - 11:50 a.m.;Linear regression helps you find relationships between two or more variables, but when an outcome has only two possibilities, you need a different tool. That, my friends, is where logistic regression comes in.
Data tactics for the well-rounded business reporter;Wendell Cochran, Edmund Tadros;Regency Center;Saturday;11 a.m. - 11:50 a.m.;Business is all about numbers and data. In this session, you will get tips for finding and using data to beef up your stories about business and economics. No heavy lifting here, but it would be useful to have some experience with spreadsheets.
Mini-Boot Camp (Saturday) Team A;TBA;Seneca/Iroquois;Saturday;2 p.m. - 4:50 p.m.;*Pre-registered attendees only.
Dodging disasters: How to avoid making errors with data;Megan Luther, Liz Lucas, John Perry;Regency South;Saturday;2 p.m. - 2:50 p.m.;We'll cover common assumptions and mistakes in data-driven stories, from misunderstanding data to writing bad SQL. Learn techniques for checking your work and creating a safety net to help you sleep at night.
Maps and charts in R: real newsroom examples;Amanda Cox;Gulfstream/Hialeah;Saturday;2 p.m. - 2:50 p.m.;Using R, we will make 117 drought maps that appeared in the New York Times last summer, and explore other representations of the same data. In doing so, we will hopefully learn why we might (or might not) want to 'sketch with data' in R.
Python programming for the rest of us 1: Google Fusion Tables - the gateway drug;Ronald Campbell, Christopher Schnaars;Kentucky Suite;Saturday;2 p.m. - 2:50 p.m.;"This three-part class is designed for data journalists who are comfortable with the basic tools of our craft but intimidated by the ""p-word"" and think Aron Pilhofer has signed a pact with the devil. We will cover the basics and show you how a little programming can save you hours or days of time and make you look like a genius to your boss. Requirements: a laptop, a Google sign-in and curiosity."
Infect the CMS;Jacob Harris, Al Shaw, Heather Billings;Regency North;Saturday;2 p.m. - 2:50 p.m.;"We web developers strive for rugged independence. The luckiest of us have total control over our web stacks and the design of our projects, unlike those poor sods forced to labor within the Content Management System (CMS). Therein lies the problem; being apart means being invisible unless you spread your content to the CMS and beyond. This panel will discuss some strategies and experiences for getting your app content to find readers where they are."
"Git &amp; Github: Learning to commit to version control";Tom Meagher;Keeneland;Saturday;2 p.m. - 2:50 p.m.;When you're working on a web project, do you end up with a folder full of files with names like index_draft1.html, index_draft2.html, index_draft3.html? How often have you added a bad piece of code to a script, only to realize you didn't save a copy of the version that worked yesterday?
State of the Unions;MaryJo Webster, Tom McGinty;Regency Center;Saturday;2 p.m. - 2:50 p.m.;"Labor unions may be struggling to maintain their membership, but they still play a pivotal role in the nation&rsquo;s economy and politics. Tom and Mary Jo will discuss data you can use to dig into the public and private-sector unions in your region, shedding light on their finances, their membership and the ways they wield their considerable power."
Painless scraping with Helium Scraper;Sarah Cohen;Churchill Downs;Saturday;2 p.m. - 2:50 p.m.;"Helium Scraper is a reasonably low-cost ($140) solution for a lot of scraping chores, even if it&rsquo;s not the magic bullet. This demonstration will show you when it might work for your project and give examples of how it works."
Mini-Boot Camp (Saturday) Team B;TBA;Shawnee/Cherokee;Saturday;2 p.m. - 4:50 p.m.;*Pre-registered attendees only
Make the robots work for you - implementing PANDA in your newsroom;Brian Boyer, Christopher Groskopf, Nolan Hicks, David Eads;Churchill Downs;Saturday;3 p.m. - 3:50 p.m.;Wouldn't it be sweet if you got an email when something newsworthy happens? Wouldn't that make your job easier? Well, have we got news for you. Learn about implementing PANDA in your newsroom and automating your data chores.
Mapping 1 with qGIS: Displaying data geographically;David Herzog;Keeneland;Saturday;3 p.m. - 3:50 p.m.;Displaying data geographically with Quantam GIS 1.8.
Going beyond the obvious: Creative uses for data;Ryann Grochowski, Terri Langford;Regency South;Saturday;3 p.m. - 3:50 p.m.;Data is not just for analyzing, sorting and filtering. We'll share the best databases for finding sources, uncovering contact information, investigating relationships -- and how to get them. Great for beginners or anyone who wants to see spreadsheets in a new light.
Finding stories in health data;Charles Ornstein, Michael Pell, David Donald;Regency Center;Saturday;3 p.m. - 3:50 p.m.;Learn about datasets that can help localize health stories, including pharmaceutical company spending on doctors, nursing home violations and hospital quality, among others. We will dive into Medicare data and data that local and state reporters can use.
Making timelines;Lena Groeger, Krista Kjellman Schmidt;Gulfstream/Hialeah;Saturday;3 p.m. - 3:50 p.m.;Displaying a series of events can be as simple as drawing a straight line. But if you want to get fancier, there are a bunch of other options to display chronologies and storylines. In this talk, we'll take a tour of current timelines in the wild and walk you through three open-source tools to help you make your own: ProPublica's TimelineSetter, Zach Wise's TimelineJS, and WNYC's Vertical Timeline.
Python programming for the rest of us 2: Basic Python;Christopher Schnaars, Ronald Campbell;Kentucky Suite;Saturday;3 p.m. - 3:50 p.m.;"This three-part class is designed for data journalists who are comfortable with the basic tools of our craft but intimidated by the ""p-word"" and think Aron Pilhofer has signed a pact with the devil. We will cover the basics and show you how a little programming can save you hours or days of time and make you look like a genius to your boss. Requirements: a laptop, a Google sign-in and curiosity."
(Way) beyond charts: Making interactive fun;Tasneem Raja, Sisi Wei;Regency North;Saturday;3 p.m. - 3:50 p.m.;Don't forget fun when making your interactives! We'll showcase witty and offbeat interactive graphics and news games from a few outlets we love, with the inside scoop on how each graphic was created, how the ideas got greenlighted, and tools you'd need to make them yourself.
Python programming for the rest of us 3: Webscraping for dummies;Ronald Campbell, Christopher Schnaars;Kentucky Suite;Saturday;4 p.m. - 4:50 p.m.;"This three-part class is designed for data journalists who are comfortable with the basic tools of our craft but intimidated by the ""p-word"" and think Aron Pilhofer has signed a pact with the devil. We will cover the basics and show you how a little programming can save you hours or days of time and make you look like a genius to your boss. Requirements: a laptop, a Google sign-in and curiosity."
Data journalism around the globe;Helena Bengtsson, John Bones, Nils Mulvad, Sebastian Mondial;Regency South;Saturday;4 p.m. - 4:50 p.m.;"Panelists will show what data journalism is like outside the United States. There are different trends, and one of them is new independent centers for investigative reporting and cross-border investigations. Crowdsourcing is another trend, together with interactivity and different ways of mapping the news. We&rsquo;re also witnessing the growing power of classical journalistic skills in combination with computer-assisted reporting."
Connecting the dots with NodeXL;Peter Aldhous;Gulfstream/Hialeah;Saturday;4 p.m. - 4:50 p.m.;NodeXL is an add-in for Excel 2007 and 2010 that allows you to do network analysis (aka social network analysis) in a familiar spreadsheet environment. You'll learn how to use the software by turning data from 2007 on voting patterns in the US Senate into an informative graphic revealing the chamber's underlying dynamics - and highlighting the few senators who broke the partisan mold.
Mapping 2 with qGIS: Importing and selecting data by attribute;David Herzog;Keeneland;Saturday;4 p.m. - 4:50 p.m.;
Campaign finance the data science way;Chase Davis, Brandon Roberts;Regency North;Saturday;4 p.m. - 4:50 p.m.;The Center for Investigative Reporting and IRE teamed up with the San Francisco data science company Kaggle to help bridge the gap in journalism between hacking, math and substantive expertise. They challenged data scientists to approach a database journalists have looked at a million times over: federal campaign contributions. We'll introduce you to the winner of the competition and discuss the tools the data scientists used and their results.
Using CAR to hold the powerful accountable;Jack Gillum, Kate Golden;Regency Center;Saturday;4 p.m. - 4:50 p.m.;From officials' calendars to campaign finance and fundraisers' efforts, we'll discuss the ways data can help you investigate those in power.
Wrangling Web data with Google docs - advanced course;Steven Melendez;Churchill Downs;Saturday;4 p.m. - 4:50 p.m.;Lots of people use Google Docs. But many of them don't know about the Google Apps Script language, which makes it possible to scrape data from across the web and from Google's geography, finance, machine learning and other APIs, then present and analyze the data in a Google Spreadsheet. This session will demonstrate the basics of Apps Script by building a spreadsheet that automatically imports new data from a public source every morning and sends an email when it comes across something interesting.
CAR Conference Sales (Sunday);TBA;2nd Floor;Sunday;8:30 a.m. - 10:30 a.m.;"Stop by the IRE sales table and take a look at our merchandise. We will be selling books, including the newest title in the IRE beat book series. The large selection of titles we carry will certainly include your interests. The winners of the IRE T-shirt contest will be displayed and on sale. The sales table is also the place to get your ticket to ""A Night on the Town"" an event that is sure to be a fun time! All proceeds from your purchase help support IRE and its mission."
Mapping best practices;John Keefe, Matt Stiles, Eric Gundersen;Regency Center;Sunday;9 a.m. - 9:50 a.m.;Applications such as QGIS and Google Fusion Tables have made digital mapping accessible to anyone. But are we building maps that are useful? This panel will explore design dos and don'ts and discuss ways to optimize your maps so they perform well for your audiences.
Intro to mapping with Fusion Tables;Jaimi Dowdell;Shawnee/Cherokee;Sunday;9 a.m. - 9:50 a.m.;Welcome to Google Fusion Tables. In this hands-on introduction to the free online tool you'll learn how to import data and turn it into an online map easily. We'll add in some simple customization as well. Experience with spreadsheets and a Google account are the only prerequisites for this class.
Mini-Boot Camp (Sunday) Combined;TBA;Seneca/Iroquois;Sunday;9 a.m. - 10:50 a.m.;*Pre-registered attendees only
Investigating online;Mark Horvit;Regency North;Sunday;9 a.m. - 9:50 a.m.;From better search techniques to the invisible Web, how to find documents and databases on deadline and where to find reliable websites for enterprise stories.
Finding data online;Jaimi Dowdell;Regency North;Sunday;10 a.m. - 10:50 a.m.;There are plenty of clues on the Web that data exist, even though so much information is buried deep beyond search engine eyes. This session will highlight advanced searches and strategies for finding data that can't be found with a traditional search engine. We'll also point you to the best sites for tracking down local, national and international data. All you need is a browser and some curiosity.
Career development roundtable;Anthony DeBarros, Mark Horvit, Jennifer LaFleur, Aron Pilhofer;Regency Center;Sunday;10 a.m. - 10:50 a.m.;Wondering what you need to learn to take that next step in your career? Interested in which skills news organizations are prioritizing now, and what might set you up for what they'll want next? Drop by the roundtable join us for a discussion of the skills that will help you progress.
How (not) to be a danger to yourself and others using the command line;Ted Han;Shawnee/Cherokee;Sunday;10 a.m. - 10:50 a.m.;Harkening back to an earlier era of computing, the command line can easily seem like magic. Incantations are learned by rote, passed on by word of mouth from user to user, or written into arcane and impenetrable documentation. But live in fear no more! We will illuminate its nature and bind it to our use, navigating computers, manipulating files, and opening a comprehensible gateway to a world of pro-user and developer tools. Attendees should bring their laptops and be prepared to discover the Linux or Mac command line. (Note: Windows users may also learn transferable skills)
