Title;Speaker;Place;Day;Time;Description
Free tools for data visualization and analysis;Cheryl Phillips (The Seattle Times), Sharon Machlis (Computerworld);Illinois Central;Friday;10 a.m. - 10:50 a.m.;Get an overview of more than 20 different free tools available for cleaning, analyzing, visualizing and displaying data, as well as a discussion and examples of how some of these tools have been used to develop and present data-based stories.
Excel 2;Aaron Kessler (100 Reporters);Wabash Cannonball;Friday;10 a.m. - 10:50 p.m.;Calculating ratios and rates.
How to edit a story made of software;Aron Pilhofer (The New York Times), Scott Klein (ProPublica);New York Central;Friday;10 a.m. - 10:50 a.m.;There's a lot to think about when it comes to news apps, but not all of it is coding. What story is it telling? Does it tell it consistently and in a fact-based way? Does the story it tells agree with the reporting? What's the lede, what's the nut (yes, apps have those).
SPSS: Basic linear regression;Ken McCall (Dayton Daily News);Grand Hall II;Friday;10 a.m. - 10:50 a.m.;"
"
Intro to Simile Exhibit;David Karger (MIT);Jeffersonian/Knickerbocker;Friday;10 a.m. - 10:50 a.m.;Hands-on session reviewing the publication tool Simile Exhibit to make presentations of data, timelines and maps.
Advanced Google Fusion Tables;Adam Playford (The Palm Beach Post), Rebecca Shapley (Google);Grand Hall I;Friday;10 a.m. - 10:50 a.m.;With Google Fusion Tables and the tiniest dose of Javascript, you can create a highly custom interactive in a matter of hours. In this hands-on session, learn how to turn election results into an interactive map that tells a story, including a crash course on combining Fusion Tables with Google's mapping API to let readers dive into the data themselves. Best of all, you can do the whole thing without being an expert programmer, though comfort with simple Javascript will help.
Mining data around the globe;"Helena Bengtsson (Sveriges Television), Andy Lehren (The New York Times), Nils Mulvad (Kaas &amp; Mulvad)";Frisco/Burlington;Friday;10 a.m. - 10:50 a.m.;Databases in the US can help reporters in other nations uncover key stories in their countries, and data from abroad can shed light on US laws and businesses. From abuses in EU subsidy programs for businesses, to tracking dangerous imports, to the US exporting environmental problems, this panel will highlight the wide range of possibilities from exploring databases both here and overseas.
Making friends with map projections;Michael Corey (Center for Investigative Reporting), Ben Welsh (Los Angeles Times);Missouri Pacific;Friday;10 a.m. - 10:50 a.m.;An intro into the crucial but often intimidating world of map projections: What they are, why you have to care, and how you can use them to make maps from different sources play nicely together.
Network analysis with NodeXL;Peter Aldhous (New Scientist);Grand Hall I;Friday;11 a.m. - 11:50 a.m.;"NodeXL is an add-in for Excel 2007 and 2010 that makes network analysis (aka social network analysis) simple and intuitive. You'll learn how to use the software by turning data from 2007 on voting patterns in the US Senate into an informative graphic revealing the chamber's underlying dynamics &mdash; and highlighting the few senators who broke the partisan mold."
Latest trends in open records battles;Wendell Cochran (American University), David Smallman (Smallman Law PLLC), Mark Sableman (Thompson Coburn LLP);Illinois Central;Friday;11 a.m. - 11:50 a.m.;"Learn about the newest developments and trends that can help or hinder your attempts to get data and documents from government agencies, and that can provide protection &mdash; or leave you exposed &mdash; when your stories run."
Intro to MySQL;Alex Richards (Chronicle of Higher Education);Grand Hall III;Friday;11 a.m. - 11:50 a.m.;The world's most popular database is also free. As in beer. This class will get you up to speed on the same software that powers Twitter and is used around the world for high-level analysis of big datasets.
"What you need (and don&#39;t need) to do an election night map";John Keefe (WNYC Radio), Al Shaw (ProPublica), Scott Klein (ProPublica);New York Central;Friday;11 a.m. - 11:50 a.m.;"Election day is coming. If you think your site can't compete with the big national sites in covering your corner &mdash; or even all corners &mdash; of election night using live maps and data, you may be wrong. Come hear how some entrepreneurial sites did just that with existing staff and resources that are within the reach of even small newsrooms."
SPSS: Using logistic regression;Jennifer LaFleur (ProPublica);Grand Hall II;Friday;11 a.m. - 11:50 a.m.;Linear regression helps you find relationships between two or more variables, but when an outcome has only two possibilities, you need a different tool. That my friends, is where logistic regression comes in.
Excel 3;Rich Exner (Cleveland Plain Dealer);Wabash Cannonball;Friday;11 a.m. - 11:50 a.m.;Learn pivot tables, filtering and more.
Web scraping with Google docs;Acton Gorton (University of Illinois), Sean Sposito (American Banker);Missouri Pacific;Friday;11 a.m. - 11:50 a.m.;Review methods for importing web data into the Google Docs platform. Learn to fetch external web data, create scripts to schedule fetches in batches and process the data. No programming skills required. Those familiar with the Microsoft Excel application will be familiar with many of the concepts. Experienced programmers can learn to develop web application proofs of concept, prototyping and fetching through API.
OK, but where did that data come from? Data validation in the digital age;J.T. Johnson (Institute for Analytic Journalism), Cheryl Phillips (The Seattle Times);Frisco/Burlington;Friday;11 a.m. - 11:50 a.m.;"We know ""all data is dirty,"" but do you know it might not be valid or even how it came to be?  Understanding the pedigree/genealogy/parentage of the data set is a crucial step prior to even cleaning the data, or analyzing it.  This session will provide tips and methods to help you know if and when your data is legit and in appropriate context for your anticipated story."
Media Lawyers Brown Bag;TBA;New York Central;Friday;noon - 1:50 p.m.;(Sponsored by Smallman Law PLLC and IRE)
Access 1;Matt Carroll (The Boston Globe);Wabash Cannonball;Friday;2 p.m. - 2:50 p.m.;The purifying experience of filtering your data. Learn to select and sort data items you choose
"PANDA Project show &amp; tell";Brian Boyer (Chicago Tribune), Christopher Groskopf (PANDA);Missouri Pacific;Friday;2 p.m. - 2:50 p.m.;PANDA wants to be your newsroom data appliance! Come learn what it can do for your organization and have a chance to ask questions and help guide the next six months of development.
Mini-Boot Camp;Jaimi Dowdell (IRE and NICAR), David Donald (Center for Public Integrity), Jennifer LaFleur (ProPublica), Megan Luther (IRE and NICAR), Coulter Jones (IRE and NICAR), Mark Horvit (IRE and NICAR);"Grand Hall I&amp;II *pre-registration only";Friday;2 p.m. - 4:50 p.m.;
Build your first News App with Django;Ben Welsh (Los Angeles Times), Derek Willis (The New York Times), Chase Davis (Center for Investigative Reporting), Matt Waite (University of Nebraska);Grand Hall III *pre-registered attendees;Friday;2 p.m. - 5 p.m.;
Collaborating with data: Challenges and payoffs;Kevin Crowe (Investigative Newsource), Tom Detzel (ProPublica), Brant Houston (University of Illinois);Illinois Central;Friday;2 p.m. - 2:50 p.m.;Databases can and have provided dynamic starting points for collaborations among independent nonprofit newsrooms. This session will look at how to choose the right databases and how to begin a collaboration with data analysis.
What to do when there is no data;Helena Bengtsson (Sveriges Television), Jennifer LaFleur (ProPublica);New York Central;Friday;2 p.m. - 2:50 p.m.;"Just because there isn&rsquo;t a database doesn&rsquo;t mean you can&rsquo;t do the story.  Using sampling, surveys and other techniques can help you build your own database. We&rsquo;ll give you some tips on how to build your own data."
Google Refine;Dan Nguyen (ProPublica);Jeffersonian/Knickerbocker;Friday;2 p.m. - 2:50 p.m.;"Learn how to use Google Refine to work with messy data, such as detecting and fixing inconsistencies; and transforming data from one structure or format to another.  Use Google Refine when you need something: more powerful than a spreadsheet; more interactive and visual than scripting; more provisional / exploratory / experimental / playful than a database."
Crime analyses for any newsroom;Jeremy Kohler (St Louis Post-Dispatch), Doug Smith (Los Angeles Times);Frisco/Burlington;Friday;2 p.m. - 2:50 p.m.;"A rundown of data-driven stories mined from the cops beat: analyzing the Uniform Crime Report, debunking most-dangerous-cities lists; studying officer-involved shootings; building a community-based crime report and integrating it into the news flow."
Advanced functions in Excel;Mary Jo Webster (St. Paul Pioneer Press);Jeffersonian/Knickerbocker;Friday;3 p.m. - 3:50 p.m.;String functions, IF statements and other powerful tools you'll wish you had learned earlier.
Failing government monopolies and looming alternatives;Paul Overberg (USA TODAY), Brad Guilmino (HNTB Corporation);Frisco/Burlington;Friday;3 p.m. - 3:50 p.m.;
"Reporters&#39; Lab";"Tyler Dukes (The Reporters&#39; Lab), Charlie Szymanski (The Reporters&#39; Lab)";Missouri Pacific;Friday;3 p.m. - 3:50 p.m.;"The Reporters&rsquo; Lab is out to make your job as an investigative reporter easier, and our team wants to show you how. Learn how the lab is curating the best products for your newsroom and see a test drive of some of our own open-source tools for analyzing historical data and annotating video. We also want to hear your suggestions for reporting problems you&rsquo;d like us to solve."
Making sure you tell a story;Anthony DeBarros (USA TODAY), Ron Nixon (The New York Times), Ben Welsh (Los Angeles Times);Illinois Central;Friday;3 p.m. - 3:50 p.m.;You have the data, the analysis, the graphics and the apps. But how well are you telling a story with them? This panel will examine ways to elevate your CAR work from mere data dump to something that informs and delights readers.
Capturing and analyzing Twitter feeds;Alastair Dant (The Guardian), Daniel Lathrop (The Dallas Morning News);New York Central;Friday;3 p.m. - 3:50 p.m.;At peak times more than 12,000 Tweets are posted every second. 13.7 million were sent during the Super Bowl. With the Twitter API you can harness that raging river of noise and extract the signals that help you cover, communicate and explain the world around you. Oh, and we'll tell you how to get good leads.
Access 2;Doug Haddix (Kiplinger Program - Ohio State University);Wabash Cannonball;Friday;3 p.m. - 3:50 p.m.;Summarizing databases with counting and summing.
GeoCommons;Paul Monies (USA TODAY);Jeffersonian/Knickerbocker;Friday;4 p.m. - 4:50 p.m.;"Can&rsquo;t afford ArcGIS? Learning curve for QGIS too steep? Need to quickly analyze and present geographic data on deadline via the web? Take GeoCommons out for a spin in this hands-on demonstration of the online mapping service."
Editing the CAR story;Mike Williams (Thomson Reuters), Manny Garcia (El Nuevo Herald);Frisco/Burlington;Friday;4 p.m. - 4:50 p.m.;Even veteran editors can find it imposing when they're responsible for assuring the accuracy of a CAR project. Get tips and advice on the best methods and practices for bulletproofing a story with a heavy data component.
The Web as an investigative tool;Jaimi Dowdell (IRE and NICAR), Mark Horvit (IRE and NICAR);New York Central;Friday;4 p.m. - 4:50 p.m.;"If you&rsquo;re like most journalists, the Web has become one of your favorite places to go for backgrounding, digging and tip seeking. Imagine how much is out there that you haven&rsquo;t heard about. With a careful strategy and knowing where to look you can make your time online more effective and efficient. This session will help you do all these things and point you to the latest sites you never knew you couldn&rsquo;t live without."
Mining federal contract data with the Federal Procurement Data System;Mike Fabey (Aviation Week), Yang Wang (Houston Chronicle);Missouri Pacific;Friday;4 p.m. - 4:50 p.m.;"Learn how to acquire and attack federal contracting data. This session will help you discover different ways of searching and downloading federal contract data from Federal Procurement Data System and USAspending.gov; and it will compare the pros and cons of the two data warehouses to give a clearer idea about how to efficiently get the type of data you want. We also will focus on using data provided by NICAR to dig deep into government contacts &mdash; especially Pentagon deals &mdash; for trends and travesties."
Access 3;Jo Craven McGinty (The New York Times);Wabash Cannonball;Friday;4 p.m. - 4:50 p.m.;How to join tables, matching information from one file to another.
Lightning Talks;Derek Willis (The New York Times);Illinois Central;Friday;4 p.m. - 4:50 p.m.;Sometimes you don't need 45 minutes to  explain a useful technique or interesting resource. Join your colleagues  for a session of short (5-minute) talks about doing CAR, Web  development or other related topics. Anyone can suggest an idea, and the  most popular talks will be given at this session. We'll provide a  computer with Internet access and a projector, and the rest is up to  you.
RegEx to the rescue;John Perry (Atlanta Journal-Constitution);Grand Hall I;Saturday;9 a.m. - 9:50 a.m.;Regular expressions, a mini-language used for matching patterns in text, can be found everywhere: from databases to text editors to programming languages like Python and Ruby. In this hands-on class, we'll demonstrate how to use regex in a variety of contexts to perform basic data-cleaning and querying.
Open gov - New data available from the transparency movement;David Herzog (IRE and NICAR), Abhi Nemani (Code for America), Alex Howard (O’Reilly Media), Chris Taggart (OpenCorporates);Illinois Central;Saturday;9 a.m. - 9:50 a.m.;Transparency advocates inside and outside of government are pushing to make more data available. Lean how you can tap into this information for your analysis and web applications.
Tracking social media and turning it into investigations;"Brant Houston (University of Illinois), Nils Mulvad (Kaas &amp; Mulvad)";Frisco/Burlington;Saturday;9 a.m. - 9:50 a.m.;This session will look at examples and the best practices of building investigative stories from social media. The session will cover the challenges in collecting social media material, archiving, analyzing and verifying it.
Getting started with GitHub;James Wilkerson (The Washington Post);Missouri Pacific;Saturday;9 a.m. - 9:50 a.m.;Learn the basics of the coding equivalent of Facebook. With a learning curve of less than a couple of hours, you'll be storing, sharing and searching code with the best of 'em.
Intro to QGIS;Michael Corey (Center for Investigative Reporting);Grand Hall II;Saturday;9 a.m. - 9:50 a.m.;A hands-on introduction to using Geographic Information Systems using open-source software.
"Knight-Mozilla OpenNews Q&amp;A";Daniel Sinker (Knight-Mozilla OpenNews);Grand Hall II;Saturday;9 a.m. - 9:50 a.m.;"As the Knight-Mozilla News Technology partnership enters its second year, it has been rechristened Knight-Mozilla OpenNews and enters the new year with an expanded plan for building an ecosystem around news on the open web. With tons of entry points and places to collaborate, OpenNews wants YOU &mdash; to be a Knight-Mozilla Fellow, to help host hackfests, to teach an online class, and much more. Sit down with Dan Sinker, the Director of the Knight-Mozilla OpenNews initiative, over coffee for a conversation about the 2012/13 plan."
Intro to SQL with Access (part 1);Jaimi Dowdell (IRE and NICAR);Jeffersonian/Knickerbocker;Saturday;9 a.m. - 9:50 a.m.;Structured Query Language, or SQL, is a powerful item to add to your data toolbox. This session will give you an introduction to using SQL to interview, sort, select and summarize your data. While the class is taught in Microsoft Access, this language is widely used and can be taken to other database managers with some minor tweaks.
Own your own map stack: Open source maps from the ground up;Chris Amico (NPR), Brian Boyer (Chicago Tribune), Matt Stiles (NPR);New York Central;Saturday;9 a.m. - 9:50 a.m.;Life after Google Maps: From TileMill to QGIS, learn about open-source mapping options for displaying and geocoding your data.
Web scraping without programming;Chris Keller (Madison.com), Michelle Minkoff (The Associated Press);Wabash Cannonball;Saturday;9 a.m. - 9:50 a.m.;We'll walk through some in-depth tutorials of free tools that don't require you to know programming to bring structure to information you find on the Web, including OutwitHub and manipulating the distinct parts of a web page.  We'll cover tasks as simple as grabbing all of the images off the page, and as complex as paging through a searchable database.
The ins and outs of internal APIs;Anthony DeBarros (USA TODAY), Christopher Groskopf (PANDA), John Keefe (WNYC Radio), James Wilkerson (The Washington Post);New York Central;Saturday;10 a.m. - 10:50 a.m.;Dozens of public and private groups are opening up treasure troves of data using APIs, which are quickly becoming the new standard for shuffling data around the internet. Learn how easy it can be to get started building them for your own use, and get some tips from power users on how to make use of what's already out there.
Intro to SQL with Access (part 2);Jaimi Dowdell (IRE and NICAR);Jeffersonian/Knickerbocker;Saturday;10 a.m. - 10:50 a.m.;
Unsession: What we should be teaching the next generation;Steve Doig (Arizona State University);Illinois Central;Saturday;10 a.m. - 10:50 a.m.;Where is the next generation of CAR reporters and news apps developers?  Its clear that the unmet demand for data driven jobs won't slack off any time soon.  What skill set divides current j-school graduates from succeeding in these jobs?  How and where can j-school grads get these skills, and what is being done to ensure future grads will be prepared to dive into future data projects?
Federal stats for local stories;Ron Nixon (The New York Times), Gavin Off (The Charlotte Observer);Frisco/Burlington;Saturday;10 a.m. - 10:50 p.m.;The federal government keeps a treasure trove of data, but knowing where to find what you need can be daunting. This session will help show you the way and give you some ideas of how you can turn federal numbers into stories with local impact.
Getting data into Excel: From PDF to HTML;Matt Wynn (Omaha World-Herald);Wabash Cannonball;Saturday;10 a.m. - 10:50 a.m.;In the real world, your key dataset probably isn't going to come in an easy-to-use package. This hands-on session will cover how to import data into Excel from a variety of formats.
Intro to R;Jacob Fenton (Sunlight Foundation);Grand Hall I;Saturday;10 a.m. - 10:50 a.m.;"Run stats without paying a dime! R is free statistical software that does everything from simple regressions and correlations to beautiful charts, maps and visualizations. We&rsquo;ll focus on importing data, running statistical tests, and looking for hidden relationships between variables."
Navigating the storm: Using data to bolster the traditional weather story;Stephen Stirling (The Star-Ledger);Missouri Pacific;Saturday;10 a.m. - 10:50 a.m.;"Weather stories are a fact of life for reporters across the country. Mountains of useful data, in all sorts of formats, is made readily available by the government and other independent agencies, but rarely used by newsrooms.  Where to find it, how to use it to build interactivity into every day weather stories and how to use data to look beyond your typical ""it rained yesterday"" article."
American FactFinder 2;Ron Campbell (The Orange County Register);Grand Hall I;Saturday;10 a.m. - 10:50 a.m.;"Is American FactFinder a fiendish plot or a tool of the devil? Ron Campbell demystifies and defangs the Census Bureau&rsquo;s data finder."
Intro to QGIS 2;Michael Corey (Center for Investigative Reporting);Grand Hall II;Saturday;10 a.m. - 10:50 a.m.;
TileMill;Chris Amico (NPR), Brian Boyer (Chicago Tribune), Matt Stiles (NPR);Grand Hall III;Saturday;11 a.m. - 11:50 a.m.;We'll go from a public dataset and a blank canvas to a working interactive map using TileMill, an open source map design studio. This session will focus on how to use TileMill, how to style your map and how to get it on the web.
